loan_id,reporting_date,product_type,origination_date,original_amount,outstanding_balance,credit_score_origination,credit_score_current,days_past_due,interest_rate,industry_sector,geography,pd_12m,pd_lifetime,lgd,ifrs9_stage,ecl_amount,ecl_rate
LN0000001,2024-09-30,Personal Loan,2020-10-22,9803.13,2699.2,636,635,0,9.9,N/A,Central,0.06,0.18,0.5495,2,266.98,9.8911
LN0000002,2024-09-30,SME Loan,2020-10-02,51648.96,14376.96,742,773,0,7.53,Services,South,0.0065,0.0195,0.4383,1,40.96,0.2849
LN0000003,2024-09-30,Auto Loan,2022-06-09,14732.7,7602.17,717,747,0,6.57,N/A,North,0.009,0.027,0.3223,1,22.05,0.29
LN0000004,2024-09-30,Personal Loan,2020-11-23,8803.55,2414.34,683,698,0,9.45,N/A,South,0.03,0.09,0.6406,1,46.4,1.9219
LN0000005,2024-09-30,Mortgage,2023-07-10,339956.43,243915.78,608,615,0,5.37,N/A,North,0.035,0.105,0.1528,2,3913.38,1.6044
LN0000006,2024-09-30,Mortgage,2020-07-10,188819.02,51841.6,641,654,30,5.29,N/A,South,0.035,0.105,0.1898,2,1033.15,1.9929
LN0000007,2024-09-30,Mortgage,2022-03-16,238254.92,105219.63,486,487,0,5.99,N/A,West,0.07,0.21,0.1549,2,3422.69,3.2529
LN0000008,2024-09-30,Credit Card,2022-01-21,6205.65,2715.36,699,697,30,18.5,N/A,South,0.075,0.225,0.7372,2,450.4,16.5871
LN0000009,2024-09-30,Auto Loan,2022-10-10,36617.29,19233.18,682,718,0,7.01,N/A,East,0.009,0.027,0.3443,1,59.6,0.3099
LN0000010,2024-09-30,Auto Loan,2021-07-08,19306.3,5990.19,695,734,0,6.76,N/A,North,0.009,0.027,0.3013,1,16.24,0.2711
LN0000011,2024-09-30,Mortgage,2021-12-24,441763.38,171104.97,720,717,0,4.28,N/A,South,0.007,0.021,0.2305,1,276.08,0.1614
LN0000012,2024-09-30,SME Loan,2022-07-16,217324.1,108364.97,711,717,0,7.98,Healthcare,North,0.013,0.039,0.5031,1,708.74,0.654
LN0000013,2024-09-30,Credit Card,2020-10-04,2793.57,741.32,671,673,0,17.92,N/A,East,0.0375,0.1125,0.6608,2,55.11,7.434
LN0000014,2024-09-30,Mortgage,2022-04-27,177740.8,84466.34,684,644,0,5.32,N/A,South,0.035,0.105,0.2206,2,1956.49,2.3163
LN0000015,2024-09-30,Mortgage,2023-05-12,486769.19,339076.72,568,559,0,5.74,N/A,Central,0.07,0.21,0.1746,2,12432.59,3.6666
LN0000016,2024-09-30,Mortgage,2023-03-24,249340.13,166806.06,633,673,30,5.25,N/A,South,0.035,0.105,0.2115,2,3704.35,2.2208
LN0000017,2024-09-30,Mortgage,2019-11-21,88442.78,24003.59,684,665,0,5.3,N/A,East,0.0175,0.0525,0.1626,1,68.3,0.2845
LN0000018,2024-09-30,Personal Loan,2022-09-19,5768.64,3384.96,621,674,0,9.76,N/A,Central,0.03,0.09,0.6079,1,61.73,1.8237
LN0000019,2024-09-30,Personal Loan,2022-02-28,11503.17,5131.13,749,778,0,8.56,N/A,East,0.006,0.018,0.6092,1,18.76,0.3656
LN0000020,2024-09-30,Mortgage,2022-04-15,150013.22,68325.1,627,637,0,5.17,N/A,East,0.035,0.105,0.2233,2,1601.98,2.3446
LN0000021,2024-09-30,Auto Loan,2020-02-23,25200.79,7373.73,697,711,0,6.54,N/A,North,0.009,0.027,0.2839,1,18.84,0.2555
LN0000022,2024-09-30,Mortgage,2020-12-03,272719.24,78500.69,689,666,0,4.67,N/A,West,0.0175,0.0525,0.1641,1,225.43,0.2872
LN0000023,2024-09-30,Mortgage,2020-03-16,557449.56,160945.38,740,733,0,4.51,N/A,East,0.007,0.021,0.2087,1,235.13,0.1461
